Ticker
AAPL
MSFT
AMZN
NVDA
GOOGL
GOOG
META
TSLA
BRK-B
UNH
JPM
JNJ
XOM
V
PG
MA
HD
CVX
ABBV
MRK
KO
PEP
LLY
BAC
AVGO
COST
TMO
MCD
WMT
CSCO
PFE
CRM
DIS
LIN
ACN
ABT
DHR
ADBE
VZ
TXN
NEE
PM
CMCSA
NKE
BMY
UPS
WFC
RTX
AMD
MS
HON
T
LOW
AMGN
INTC
UNP
SPGI
QCOM
IBM
COP
INTU
CAT
ELV
MDT
GS
DE
LMT
PLD
GE
BLK
BA
BKNG
AMT
SYK
NOW
ADI
MDLZ
ISRG
TJX
GILD
C
AXP
ADP
TMUS
PYPL
MDLZ
REGN
CVS
VRTX
MMC
LRCX
SCHW
ZTS
CI
MO
EOG
BDX
SO
PGR
BSX
SLB
MU
NOC
ITW
ETN
USB
CL
CSX
HUM
APD
TGT
SHW
FIS
EMR
KLAC
AON
FCX
EQIX
ICE
PNC
FDX
GM
NSC
ORLY
MCO
PSX
MCK
ROP
F
GD
MPC
ADM
OXY
SBUX
KMB
PANW
VLO
CHTR
AIG
PSA
TRV
MAR
APH
PCAR
AEP
AZO
SNPS
NXPI
EW
MSI
D
MET
HCA
CTAS
COF
PAYX
ADSK
AFL
CDNS
HLT
TEL
YUM
CMI
WMB
O
XEL
ALL
IQV
STZ
ROST
ED
DLTR
TT
WELL
DVN
HSY
ILMN
AJG
AME
FAST
KR
GLW
OTIS
GPN
CARR
KMI
IDXX
SYY
PEG
AMP
RSG
HPQ
DHI
VRSK
LHX
PCG
ON
ODFL
FTNT
AWK
CPT
KEYS
BK
WBD
CBRE
EFX
MTD
HIG
COF
ZBH
KHC
ED
FAST
ENEL.MI
ENI.MI
ISP.MI
UCG.MI
STLAM.MI
RACE.MI
TIT.MI
G.MI
MB.MI
PST.MI
TRN.MI
SRG.MI
MONC.MI
PRY.MI
FBK.MI
A2A.MI
1CNHI.MI
TEN.MI
BAMI.MI
LDO.MI
DIA.MI
REC.MI
AMP.MI
HER.MI
AZM.MI
BPE.MI
CPR.MI
IVG.MI
BGN.MI
UNI.MI
INW.MI
NEXI.MI
SPM.MI
BMED.MI
BZU.MI
PIRC.MI
WBD.MI
JUVE.MI
DRO.AX
